time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,7.064615356827896875e-03,-1.219304283024591484e-02,2.815405685382664114e+00,-4.860041485586611643e+00,0.000000000000000000e+00,-1.000000000000000000e+01
1.000000000000000021e-02,2.813799896019686386e-02,-4.857081581038791285e-02,5.610910734340144757e+00,-9.685411675580681390e+00,0.000000000000000000e+00,-1.000000000000000000e+01
1.499999999999999944e-02,6.311936508228432885e-02,-1.089456127327634860e-01,8.372589443978975865e+00,-1.444759067511613893e+01,0.000000000000000000e+00,-1.000000000000000000e+01
2.000000000000000042e-02,1.117233739582199625e-01,-1.927838031559119258e-01,1.104855962890711041e+01,-1.904938624697253857e+01,0.000000000000000000e+00,-1.000000000000000000e+01
2.500000000000000139e-02,1.733236410440386344e-01,-2.989120899577049073e-01,1.355497500476710826e+01,-2.000000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+01
2.999999999999999889e-02,2.470695677659553446e-01,-4.089515373117773578e-01,1.590191535129555689e+01,-2.000000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+01
3.500000000000000333e-02,3.321472678995918137e-01,-5.180235984492087553e-01,1.808838108931760047e+01,-2.000000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+01
4.000000000000000083e-02,4.277021097393389759e-01,-6.259739875153709221e-01,2.000000000000000000e+01,-2.000000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+01
4.499999999999999833e-02,5.278446736964408359e-01,-7.251392767446533938e-01,2.000000000000000000e+01,-1.964660492620080490e+01,0.000000000000000000e+00,-2.214599847793579102e+00
5.000000000000000278e-02,6.257961091448569491e-01,-8.187104155938911276e-01,1.918865442082313422e+01,-1.779491415156897816e+01,0.000000000000000000e+00,1.664177179336547852e+00
5.500000000000000028e-02,7.224334592335268646e-01,-9.076117530245459974e-01,1.946177225185964232e+01,-1.774772365388416162e+01,0.000000000000000000e+00,-3.361842632293701172e+00
5.999999999999999778e-02,8.200092133359895286e-01,-9.954122739566955147e-01,1.956737092019602287e+01,-1.736226123462823168e+01,0.000000000000000000e+00,-2.620215415954589844e+00
