time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+01
5.000000000000000104e-03,7.064615356828007030e-03,-1.219304283024565810e-02,2.815405685382664114e+00,-4.860041485586611643e+00,0.000000000000000000e+00,-1.000000000000000000e+01
1.000000000000000021e-02,2.813799896019678753e-02,-4.857081581038791979e-02,5.610910734340144757e+00,-9.685411675580681390e+00,0.000000000000000000e+00,-8.955871868402654812e+00
1.499999999999999944e-02,6.237496388664513086e-02,-1.076621440946207708e-01,8.075681757571317121e+00,-1.393578374250096275e+01,0.000000000000000000e+00,-6.095726464025323033e+00
2.000000000000000042e-02,1.067518165408761210e-01,-1.842175380515408967e-01,9.662018986762591410e+00,-1.666186718138679623e+01,0.000000000000000000e+00,-4.182045867782465898e+00
2.500000000000000139e-02,1.575037223253659135e-01,-2.716874563206652105e-01,1.062335211513985911e+01,-1.829701680000682629e+01,0.000000000000000000e+00,-3.294817371330400313e+00
3.000000000000000236e-02,2.122145568935247806e-01,-3.658330229789255594e-01,1.124502265061445350e+01,-1.933081705712169907e+01,0.000000000000000000e+00,-2.741996618956832332e+00
3.500000000000000333e-02,2.694289403008460759e-01,-4.640627391514008382e-01,1.162604576845276583e+01,-1.993273690092523154e+01,0.000000000000000000e+00,-2.332191305595973763e+00
4.000000000000000083e-02,3.280768468977021124e-01,-5.644461232934783190e-01,1.182113697737546865e+01,-2.019697519537064778e+01,0.000000000000000000e+00,-2.064080949350791450e+00
4.499999999999999833e-02,3.873713503662835622e-01,-6.655415470998919947e-01,1.188786145851196885e+01,-2.022311896593682690e+01,0.000000000000000000e+00,-1.874925308048973394e+00
4.999999999999999584e-02,4.467729600034782145e-01,-7.663363300972991787e-01,1.186710615337472774e+01,-2.008220822365795755e+01,0.000000000000000000e+00,-1.782975986545677793e+00
5.499999999999999334e-02,5.059481323915158146e-01,-8.661746294428518400e-01,1.179984593842846863e+01,-1.984497113769544896e+01,0.000000000000000000e+00,-1.754256316072658084e+00
